# logM_star logBHAR logBHAR_lolim logBHAR_uplim log(BHAR/SFR)
9.50 -3.26 -3.52 -3.04 -4.48
9.60 -3.08 -3.34 -2.88 -4.41
9.70 -2.90 -3.12 -2.72 -4.35
9.80 -2.73 -2.92 -2.57 -4.29
9.90 -2.55 -2.72 -2.41 -4.18
10.00 -2.38 -2.53 -2.27 -4.11
10.10 -2.21 -2.34 -2.12 -4.04
10.20 -2.04 -2.14 -1.96 -3.94
10.30 -1.86 -1.96 -1.80 -3.83
10.40 -1.69 -1.79 -1.63 -3.74
10.50 -1.52 -1.61 -1.46 -3.60
10.60 -1.34 -1.42 -1.29 -3.48
10.70 -1.17 -1.25 -1.11 -3.33
10.80 -0.99 -1.06 -0.94 -3.17
10.90 -0.81 -0.89 -0.75 nan
11.00 -0.63 -0.71 -0.57 nan
11.10 -0.45 -0.54 -0.37 nan
11.20 -0.27 -0.37 -0.17 nan
11.30 -0.09 -0.21 0.02 nan
11.40 0.09 -0.04 0.21 nan
11.50 0.26 0.12 0.39 nan
11.60 0.42 0.28 0.56 nan
11.70 0.57 0.42 0.71 nan
11.80 0.71 0.54 0.86 nan
11.90 0.83 0.66 1.00 nan
12.00 0.94 0.77 1.13 nan
