# logM_star logBHAR logBHAR_lolim logBHAR_uplim log(BHAR/SFR)
9.50 -3.97 -4.09 -3.72 -4.47
9.60 -3.81 -3.92 -3.60 -4.39
9.70 -3.65 -3.75 -3.48 -4.31
9.80 -3.50 -3.57 -3.35 -4.23
9.90 -3.35 -3.41 -3.22 -4.16
10.00 -3.20 -3.26 -3.09 -4.09
10.10 -3.06 -3.11 -2.94 -4.02
10.20 -2.92 -2.97 -2.82 -3.96
10.30 -2.78 -2.83 -2.70 -3.90
10.40 -2.65 -2.69 -2.57 -3.84
10.50 -2.52 -2.56 -2.44 -3.79
10.60 -2.39 -2.43 -2.32 -3.74
10.70 -2.27 -2.31 -2.20 -3.69
10.80 -2.15 -2.19 -2.07 -3.65
10.90 -2.03 -2.08 -1.94 -3.60
11.00 -1.91 -1.98 -1.81 -3.56
11.10 -1.80 -1.88 -1.69 -3.52
11.20 -1.68 -1.78 -1.56 -3.48
11.30 -1.56 -1.68 -1.43 -3.44
11.40 -1.44 -1.58 -1.29 -3.39
11.50 -1.32 -1.48 -1.14 -3.35
