# Yang et al. (2019) source catalog, Version 1.0 
# 04/06/2019
# ------------------------------
#
# GENERAL INFORMATION 
#
# The source catalog used in the Yang et al. (2019) paper:
# "Evident black hole-bulge coevolution in the distant universe"
# Yang, G.; Brandt, W. N.; Alexander, D. M.; Chen, C.-T. J.; Ni, Q.;
# Vito, F.; Zhu, F.-F. (2019, MNRAS, in press).
# arXiv: 1903.00003 [astro-ph.GA]
#
# Sources from CANDELS/GOODS-North are not contained in this
# catalog as the formal paper (Barro et al. in prep.) is not
# published yet. We will update this catalog to include
# GOODS-North data after the publication of Barro et al. (in prep.)
#
# Any queries/feedback about this catalog should be sent
# to both Dr. Guang Yang (gyang206265@gmail.com) and
# This catalog is available at
#  http://www.personal.psu.edu/gxy909/
#
# Below we briefly describe each column. To understand these,
# one should make reference to the Yang et al. (2018) paper
# described above.
#
# If we find any issues with this catalog, we will continue to
# improve it. Thus, before using them in a final scientific work,
# we suggest that you download the latest version available.
# ------------------------------
#
# Column Description
#
# field: 1=GOODS-South, 2=GOODS-North (not released now), 3=EGS, 4=UDS, 5=COSMOS
# CANDELS_ID: the ID in the CANDELS catalog
# ra, dec: J2000 coordinates
# z: redshift from the CANDELS catalog 
# morph_type: 0=bulge-dominated, 1=comparison; 
# log(Mstar): log(stellar mass) in units of M_sun; 
#             the median value of five CANDELS SED-fitting teams
# log(SFR): log(star formation rate) in units of M_sun/yr; 
#             the median value of five CANDELS SED-fitting team
#             or derived from Herschel FIR photometry.
#             Note that the bottom value is set to -10
# SFR_type: 0=SED-fitting, 1=Herschel FIR
# log(Lx): log(intrinsic 2-10 keV X-ray luminosity) in units of erg/s
#          for X-ray non-detected sources, the value is set to -99
# ------------------------------
#
# Catalog Data
#
# field CANDELS_ID ra dec z morph_type log(Mstar) log(SFR) SFR_type log(Lx) 
1     1 53.09299 -27.954536 0.53 1  10.44   0.81 1 -99.00
1    40 53.08826 -27.954256 1.09 1  10.13   1.82 1 -99.00
1    53 53.08360 -27.952620 0.65 1   9.99  -0.01 0 -99.00
1    58 53.08524 -27.952036 1.07 1   9.94   1.35 1 -99.00
1    76 53.08321 -27.951328 1.15 1  10.43   1.93 1 -99.00
1    79 53.09052 -27.950546 1.04 1  10.76   1.80 1 -99.00
1   107 53.08511 -27.948368 0.61 1   9.79   0.80 0 -99.00
1   125 53.07949 -27.948734 0.62 1  10.68   0.89 1  41.91
1   137 53.08627 -27.945089 0.71 1  10.12   1.57 1 -99.00
1   171 53.08427 -27.946049 0.62 1  10.60   1.70 1 -99.00
1   236 53.07144 -27.940561 0.78 1  10.17   1.38 1 -99.00
1   237 53.10873 -27.941780 0.52 0  10.22  -0.52 0 -99.00
1   245 53.09003 -27.939747 1.37 1   9.89   2.45 1 -99.00
1   267 53.10769 -27.939781 1.08 1   9.99   1.21 1 -99.00
1   274 53.09074 -27.939567 1.04 1   9.84   1.08 0 -99.00
1   278 53.08332 -27.941078 0.60 1  10.18   1.05 1 -99.00
1   285 53.07414 -27.939096 0.77 0   9.76   0.97 1 -99.00
1   290 53.09422 -27.939571 0.67 1   9.95   0.74 1 -99.00
1   300 53.08690 -27.938349 1.05 1   9.96   1.07 0 -99.00
1   306 53.08971 -27.938513 1.48 0  10.78   0.27 0 -99.00
1   347 53.12613 -27.936871 1.14 1   9.83   0.73 0 -99.00
1   364 53.10583 -27.936079 1.25 0  10.17  -1.37 0 -99.00
1   370 53.12946 -27.936792 0.67 1  10.35  -0.11 0 -99.00
1   393 53.08926 -27.938028 0.63 1  10.31   0.67 1 -99.00
1   482 53.10352 -27.933323 1.05 0  10.30   1.28 0  43.42
1   503 53.08194 -27.933586 0.67 0  10.80  -0.90 0 -99.00
1   513 53.11859 -27.931776 1.09 1   9.83   1.09 0 -99.00
1   528 53.11347 -27.933294 1.09 0  11.00   1.46 1  41.86
1   569 53.17014 -27.929655 1.22 0   9.72   1.14 1  43.81
1   606 53.12507 -27.929584 0.64 1  10.14   0.90 0 -99.00
1   610 53.12543 -27.929485 0.66 1  10.30   1.29 1 -99.00
1   630 53.14402 -27.928768 0.98 1   9.97   1.67 1 -99.00
1   633 53.11598 -27.930193 0.67 1   9.94   0.93 1 -99.00
1   669 53.12108 -27.928514 1.47 1  10.94   1.84 1 -99.00
1   712 53.12267 -27.927279 0.66 1  10.40   1.50 1 -99.00
1   720 53.16701 -27.925737 1.46 1  10.00   1.34 0 -99.00
1   726 53.09639 -27.925972 1.15 1  10.41   1.36 1 -99.00
1   744 53.15884 -27.925245 1.04 1   9.99   0.95 1 -99.00
1   780 53.08490 -27.924213 1.34 1  10.07   1.40 0 -99.00
1   797 53.10533 -27.923384 1.02 1  10.29   1.01 1 -99.00
1   804 53.13796 -27.923832 0.67 0  10.50  -0.96 0 -99.00
1   834 53.09098 -27.922289 1.37 1  10.81   1.70 1 -99.00
1   835 53.17935 -27.923597 0.67 1  10.47   1.49 1 -99.00
1   872 53.11689 -27.924069 0.67 0  10.99 -10.00 0 -99.00
1   879 53.12550 -27.921692 0.95 1   9.82   0.62 0 -99.00
1   888 53.13148 -27.921474 1.13 1   9.93   1.12 0 -99.00
1   898 53.18480 -27.920431 0.91 1   9.74   1.00 1 -99.00
1   935 53.15007 -27.920029 1.28 0  10.43  -1.70 0 -99.00
1   946 53.14564 -27.919773 0.84 1  10.15   1.30 1  43.14
1   986 53.15170 -27.918884 1.18 0  10.38   1.55 1 -99.00
1   992 53.14999 -27.919306 1.35 0  10.91  -0.26 0 -99.00
1   994 53.10774 -27.918447 1.03 1   9.88   1.12 1 -99.00
1  1040 53.16983 -27.918154 0.98 1  10.80   1.55 1  42.42
1  1072 53.09023 -27.917185 0.52 0  10.04  -1.65 0 -99.00
1  1077 53.17796 -27.917692 0.62 1  10.50  -1.30 0 -99.00
1  1198 53.18892 -27.914177 0.65 1   9.71   0.06 0 -99.00
1  1210 53.09592 -27.914539 0.66 1   9.87   0.92 1  41.18
1  1227 53.12825 -27.915272 0.69 1   9.95   0.64 1 -99.00
1  1237 53.11552 -27.914379 0.97 1  10.04   1.25 1 -99.00
1  1243 53.09793 -27.913725 0.62 1   9.75   0.71 0 -99.00
1  1253 53.14812 -27.913057 1.27 1   9.91   1.17 0 -99.00
1  1330 53.19188 -27.912432 0.73 0  10.47  -1.15 0 -99.00
1  1446 53.18674 -27.908357 1.32 1   9.83   1.22 0 -99.00
1  1506 53.21123 -27.908299 1.43 1  11.02   0.69 0  42.26
1  1602 53.20561 -27.907576 0.56 1  10.32   0.81 1 -99.00
1  1701 53.18855 -27.904135 1.38 0  10.44   1.30 1  42.98
1  1705 53.20325 -27.904934 0.60 0  10.59  -2.70 0 -99.00
1  1742 53.20198 -27.904451 0.84 1  10.46   2.08 1 -99.00
1  1819 53.14186 -27.901907 0.82 1  10.02   1.06 1 -99.00
1  1825 53.16524 -27.901760 1.34 1  10.30   1.44 0 -99.00
1  1834 53.15988 -27.902443 1.35 1  10.81   0.58 0 -99.00
1  1848 53.14343 -27.901569 1.09 1  10.37   1.36 1 -99.00
1  1887 53.16418 -27.903265 1.29 1  11.16   1.82 1 -99.00
1  1907 53.19061 -27.900347 1.40 1  10.21   1.44 0 -99.00
1  1909 53.17091 -27.900474 0.64 1   9.83  -1.82 0 -99.00
1  1912 53.19337 -27.903877 0.66 1  11.13   1.71 1  42.16
1  1918 53.15123 -27.901236 1.01 1  10.33   1.01 1 -99.00
1  1972 53.14593 -27.901457 0.69 0  10.53  -1.30 0 -99.00
1  2005 53.14260 -27.899969 0.68 1   9.93   0.84 0 -99.00
1  2013 53.12402 -27.898861 1.00 1   9.80   0.99 0 -99.00
1  2022 53.22507 -27.900568 0.83 0  10.36 -10.00 0  41.65
1  2041 53.15160 -27.899727 0.52 0  10.13  -0.20 0 -99.00
